customer_id,idade,renda,plano,tempo_cliente,qtd_chamados,atraso_pagamento,churn
298,40,10639,basic,25,1,0,0
299,32,4208,basic,43,9,0,1
300,19,13002,basic,40,4,1,1
301,36,2871,basic,1,2,0,0
302,60,14910,premium,29,1,0,0
303,18,4305,premium,47,6,0,1
304,64,7462,basic,53,7,0,1
305,46,5043,basic,18,3,0,0
306,25,12580,premium,3,1,0,0
307,33,7115,enterprise,10,3,0,0
308,46,11679,basic,21,6,0,1
309,34,2873,basic,27,1,0,0
310,23,7887,basic,21,2,0,0
311,52,13843,basic,6,0,0,0
312,52,14050,basic,21,4,1,1
313,24,4713,basic,18,1,0,0
314,32,7127,premium,29,1,0,0
315,30,7318,basic,5,1,0,0
316,52,9351,basic,47,7,0,1
317,55,8985,basic,25,4,0,0
318,55,3377,enterprise,19,9,0,1
319,66,11914,basic,54,3,0,0
320,57,4935,basic,44,2,0,0
321,34,6094,basic,9,2,0,0
322,23,12929,premium,9,9,0,1
323,49,10965,premium,1,5,0,0
324,65,7155,basic,34,3,0,0
325,68,13862,basic,21,6,1,1
326,29,7123,basic,23,5,0,0
327,30,9351,premium,31,1,0,0
328,19,5197,enterprise,32,7,0,1
329,25,4381,basic,1,1,0,0
330,46,8390,basic,7,1,0,0
331,46,9319,premium,47,7,0,1
332,37,12475,premium,57,4,0,0
333,34,7081,basic,50,2,0,0
334,61,13637,basic,54,0,0,0
335,41,9895,basic,28,5,0,0
336,60,2911,premium,49,6,0,1
337,68,11608,premium,53,2,0,0
338,34,9472,premium,53,4,0,0
339,28,7061,premium,9,3,1,1
340,67,8074,basic,9,8,0,1
341,51,5923,basic,24,7,0,1
342,33,9985,basic,30,2,1,1
343,50,9370,premium,57,5,0,0
344,44,7814,basic,19,9,0,1
345,65,5707,basic,50,3,0,0
346,31,7182,basic,53,1,1,1
347,69,8471,premium,57,2,0,0
348,66,8134,premium,12,6,0,1
349,27,6020,premium,15,9,0,1
350,26,9565,basic,13,3,0,0
351,45,4945,enterprise,44,0,0,0
352,20,8512,premium,41,1,0,0
353,33,3580,premium,25,4,1,1
354,40,8137,premium,6,0,0,0
355,68,12191,enterprise,31,0,0,0
356,69,12631,enterprise,44,6,0,1
357,25,11031,basic,28,8,0,1
358,64,11693,basic,16,2,0,0
359,22,2857,basic,35,5,0,0
360,56,6437,premium,39,5,0,0
361,61,10505,premium,35,6,0,1
362,64,12407,basic,52,9,0,1
363,29,9577,basic,19,8,0,1
364,64,13097,enterprise,36,3,1,1
365,24,5549,premium,51,9,0,1
366,44,3995,enterprise,13,0,1,1
367,42,3122,basic,17,9,0,1
368,34,9574,premium,3,1,0,0
369,19,10647,premium,23,1,0,0
370,58,5709,basic,3,1,0,0
371,35,12187,basic,45,1,1,1
372,52,11609,enterprise,6,4,0,0
373,39,6681,basic,41,6,1,1
374,37,5104,basic,35,7,0,1
375,64,11650,premium,59,0,0,0
376,22,10728,premium,21,2,0,0
377,56,4220,basic,21,1,1,1
378,56,5316,premium,15,1,0,0
379,37,8317,basic,32,7,0,1
380,31,8644,premium,13,6,1,1
381,18,4157,basic,7,2,0,0
382,66,14332,premium,56,3,0,0
383,67,7052,premium,41,9,1,1
384,30,6956,basic,8,5,0,0
385,19,2786,basic,37,2,0,0
386,24,13384,premium,18,9,0,1
387,21,5056,basic,11,1,0,0
388,61,14830,basic,28,2,0,0
389,64,8448,basic,47,6,0,1
390,25,13373,enterprise,1,5,0,0
391,56,4328,basic,21,0,0,0
392,27,4156,basic,55,8,0,1
393,37,12414,enterprise,24,2,1,1
394,49,12655,basic,6,6,0,1
395,55,9060,basic,26,3,0,0
396,63,2417,basic,41,7,1,1
397,20,14268,basic,59,8,0,1
398,28,7112,basic,38,7,0,1
399,32,14167,premium,3,9,1,1
400,34,13319,basic,48,5,0,0
401,69,13069,premium,47,0,0,0
402,58,10953,basic,39,5,0,0
403,34,10752,basic,53,4,0,0
404,68,8925,basic,46,7,0,1
405,43,2322,basic,14,2,0,0
406,44,7042,premium,25,6,1,1
407,40,11497,basic,30,4,0,0
408,25,12559,basic,29,6,0,1
409,66,9274,basic,38,4,0,0
410,18,11224,premium,42,3,0,0
411,27,2282,basic,7,2,1,1
412,29,8089,premium,34,8,0,1
413,32,8600,basic,3,0,0,0
414,24,13602,basic,31,2,0,0
415,18,6043,premium,25,4,0,0
416,53,4989,basic,13,1,0,0
417,68,6580,basic,59,9,0,1
418,24,4215,enterprise,16,3,0,0
419,33,9259,basic,4,2,0,0
420,44,10356,basic,22,2,0,0
421,66,12414,basic,45,1,0,0
422,54,14635,basic,1,6,0,1
423,57,2956,premium,30,4,0,0
424,48,5214,basic,25,2,0,0
425,39,5909,enterprise,52,8,0,1
426,28,5245,premium,1,6,0,1
427,62,12754,enterprise,2,4,1,1
428,59,3813,premium,34,5,0,0
429,19,2386,enterprise,11,6,0,1
430,55,13187,premium,42,1,0,0
431,22,14499,basic,17,8,0,1
432,56,4943,basic,34,2,0,0
433,60,6327,premium,3,0,1,1
434,24,8541,basic,41,5,0,0
435,40,8837,premium,31,8,0,1
436,24,14881,basic,1,7,0,1
437,47,7253,premium,16,3,0,0
438,66,2157,basic,4,3,0,0
439,22,7495,enterprise,3,5,1,1
440,38,9234,basic,42,2,0,0
441,68,8719,basic,26,8,0,1
442,33,8659,premium,48,2,1,1
443,24,13994,premium,16,2,0,0
444,43,12496,premium,43,0,0,0
445,44,5272,enterprise,37,6,1,1
446,52,6618,basic,40,0,0,0
447,34,10678,premium,49,8,0,1
448,67,7334,basic,42,9,0,1
449,45,7569,basic,44,1,1,1
450,32,4183,basic,44,0,0,0
451,67,5306,basic,27,9,0,1
452,66,11630,basic,43,1,0,0
453,43,12958,premium,50,4,1,1
454,19,12201,basic,44,8,0,1
455,49,6001,enterprise,36,1,0,0
456,46,3776,basic,5,6,1,1
457,25,4076,basic,26,3,0,0
458,50,7114,premium,4,4,0,0
459,61,8730,basic,7,9,0,1
460,23,13607,basic,22,6,0,1
461,55,13684,premium,28,3,0,0
462,25,2035,basic,32,9,0,1
463,56,11198,basic,54,5,0,0
464,39,5883,premium,45,0,0,0
465,18,4571,basic,25,3,0,0
466,68,9215,premium,20,2,0,0
467,26,2440,premium,43,6,1,1
468,48,6343,basic,17,8,0,1
469,27,9178,basic,53,0,0,0
470,66,5536,basic,47,7,0,1
471,56,9714,premium,41,9,0,1
472,59,7980,basic,15,9,0,1
473,40,12392,enterprise,37,6,0,1
474,42,4359,basic,49,3,1,1
475,50,2742,premium,5,1,0,0
476,58,8885,basic,11,9,0,1
477,62,5339,basic,31,4,0,0
478,18,11187,basic,22,3,0,0
479,52,3212,basic,42,7,0,1
480,23,9478,enterprise,24,7,0,1
481,32,14867,basic,59,8,0,1
482,61,3210,basic,18,8,0,1
483,31,5923,basic,22,8,0,1
484,59,12977,basic,1,1,0,0
485,42,8936,premium,15,1,0,0
486,30,4274,enterprise,14,2,0,0
487,35,4770,premium,46,6,0,1
488,45,11942,basic,20,5,0,0
489,57,13191,basic,13,8,0,1
490,49,6687,premium,19,8,1,1
491,66,8159,basic,34,8,0,1
492,63,12175,premium,47,0,0,0
493,57,4300,basic,58,6,1,1
494,49,4681,basic,3,8,0,1
495,33,12067,premium,50,9,0,1
496,39,4426,basic,23,3,0,0
497,24,12020,enterprise,48,7,0,1
498,37,8461,basic,3,4,0,0
499,66,14870,basic,37,1,0,0
500,40,2428,basic,55,3,0,0
501,23,14297,basic,3,2,0,0
502,51,4928,basic,47,9,1,1
503,68,2456,basic,7,1,0,0
504,63,11412,premium,58,1,1,1
505,32,8922,premium,44,5,0,0
506,41,12885,basic,54,5,0,0
507,45,3408,basic,53,5,1,1
508,30,3050,basic,19,1,0,0
509,31,9374,premium,25,4,0,0
510,30,13467,basic,41,9,0,1
511,69,7274,basic,11,0,0,0
512,56,12367,basic,19,7,0,1
513,61,13780,basic,6,1,1,1
514,60,13305,basic,53,2,0,0
515,67,8612,basic,15,8,0,1
516,23,11079,enterprise,25,2,0,0
517,63,8833,basic,27,5,0,0
518,21,10763,basic,23,3,0,0
519,42,9372,basic,46,6,0,1
520,48,8826,basic,54,4,0,0
521,36,7678,basic,34,4,0,0
522,25,10486,basic,50,8,0,1
523,27,11764,basic,7,5,0,0
524,60,13948,premium,58,5,0,0
525,34,9971,basic,7,8,0,1
526,34,3306,enterprise,4,4,0,0
527,66,9637,basic,2,8,0,1
528,25,6104,basic,15,7,0,1
529,65,2348,enterprise,50,8,0,1
530,65,2941,premium,18,4,0,0
531,49,9686,basic,47,5,1,1
532,26,14282,premium,26,1,1,1
533,26,8572,basic,7,1,0,0
534,32,7788,basic,28,1,1,1
535,48,3152,premium,14,6,0,1
536,25,10779,premium,18,3,0,0
537,41,2721,basic,31,2,0,0
538,24,12934,premium,47,6,0,1
539,46,12613,basic,35,3,0,0
540,19,14883,basic,14,1,1,1
541,54,5695,enterprise,43,5,0,0
542,20,4103,basic,42,5,0,0
543,28,5893,basic,14,1,0,0
544,27,12393,basic,51,2,0,0
545,61,4844,basic,50,2,0,0
546,20,13536,basic,36,6,0,1
547,40,4004,enterprise,18,2,0,0
548,48,2635,premium,21,0,0,0
549,44,4851,premium,26,2,0,0
550,53,11803,basic,12,4,0,0
551,59,9829,basic,19,7,0,1
552,38,6611,basic,8,0,0,0
553,61,10528,basic,10,8,0,1
554,34,10431,basic,44,3,0,0
555,69,9211,premium,8,3,0,0
556,44,8682,premium,28,0,0,0
557,56,3319,basic,26,2,1,1
558,63,5376,basic,3,4,0,0
559,59,8860,premium,50,6,0,1
560,62,3757,basic,59,7,1,1
561,45,8185,enterprise,38,5,0,0
562,20,3520,basic,40,1,1,1
563,43,12234,basic,14,3,0,0
564,27,3343,basic,50,7,1,1
565,64,3203,enterprise,47,6,0,1
566,30,10291,basic,26,5,0,0
567,29,4866,premium,42,5,0,0
568,30,6568,basic,57,5,0,0
569,51,6085,basic,36,9,0,1
570,47,4816,premium,12,5,0,0
571,67,11903,basic,20,5,0,0
572,39,10994,basic,11,3,1,1
573,32,5104,basic,20,4,0,0
574,20,10929,premium,53,7,0,1
575,18,11275,basic,12,8,0,1
576,37,9009,basic,53,7,0,1
577,66,9519,enterprise,17,6,1,1
578,45,14154,premium,30,7,0,1
579,64,7900,premium,32,0,0,0
580,23,7010,premium,8,2,0,0
581,22,9007,premium,11,2,0,0
582,61,12866,basic,19,6,0,1
583,23,11224,basic,4,7,0,1
584,20,2976,premium,45,1,0,0
585,39,7970,premium,33,1,0,0
586,66,11617,enterprise,50,4,0,0
587,53,4910,basic,51,9,0,1
588,23,14849,basic,21,0,0,0
589,61,12505,basic,49,8,0,1
590,61,13005,premium,4,1,0,0
591,59,3062,basic,26,2,0,0
592,64,9535,premium,40,6,0,1
593,30,8861,basic,28,7,0,1
594,68,10147,basic,44,8,0,1
595,34,13053,basic,51,0,0,0
596,59,6592,premium,26,0,0,0
597,48,8941,enterprise,17,4,0,0
598,58,10833,basic,35,5,0,0
599,50,11791,basic,52,2,0,0
600,51,12015,basic,59,6,0,1
601,50,6380,basic,49,2,0,0
602,58,14976,basic,15,9,0,1
603,56,2125,premium,13,1,0,0
604,24,8402,enterprise,34,6,0,1
605,60,9913,basic,24,5,0,0
606,45,2796,basic,37,1,0,0
607,34,7865,basic,55,6,0,1
608,44,9746,basic,33,1,0,0
609,68,9898,basic,21,5,0,0
610,62,3547,premium,52,6,0,1
611,61,5607,basic,26,0,0,0
612,42,5181,premium,36,2,0,0
613,58,10318,basic,8,2,0,0
614,38,6274,premium,30,9,0,1
615,53,9428,premium,26,2,0,0
616,51,11503,basic,8,9,0,1
617,30,12364,basic,13,5,1,1
618,31,4389,premium,42,9,0,1
619,21,13745,premium,11,8,0,1
620,25,4154,basic,8,2,0,0
621,40,2284,basic,4,5,1,1
622,42,2584,basic,2,7,0,1
623,26,4613,premium,26,0,0,0
624,39,13352,premium,29,6,0,1
625,49,4702,basic,37,4,0,0
626,30,11015,premium,34,0,0,0
627,35,7440,premium,32,8,0,1
628,37,2519,premium,59,2,0,0
629,44,7773,basic,15,8,0,1
630,37,2367,basic,43,2,0,0
631,56,8190,basic,5,5,0,0
632,35,9262,basic,51,3,0,0
633,40,8777,basic,22,8,0,1
634,37,5672,basic,21,9,1,1
635,27,11965,basic,8,7,0,1
636,53,9757,premium,31,8,1,1
637,30,5312,basic,24,7,0,1
638,33,7649,premium,58,2,0,0
639,59,3410,basic,11,9,0,1
640,67,14003,basic,25,5,0,0
641,52,11789,basic,54,3,0,0
642,65,5741,premium,48,1,0,0
643,62,10773,premium,46,7,0,1
644,43,10828,basic,32,2,0,0
645,58,9925,premium,52,6,0,1
646,35,2702,basic,14,0,0,0
647,41,13420,basic,48,6,0,1
648,45,14426,basic,35,6,0,1
649,67,14663,basic,21,5,0,0
650,62,14749,basic,13,6,0,1
651,43,14074,premium,31,9,0,1
652,51,11607,basic,1,8,0,1
653,28,2739,basic,43,4,1,1
654,59,8047,basic,14,8,0,1
655,46,5186,basic,23,9,0,1
656,45,4859,basic,12,1,0,0
657,57,12798,enterprise,28,3,0,0
658,50,12562,premium,22,7,0,1
659,21,8786,basic,12,5,0,0
660,32,11572,premium,53,1,0,0
661,27,3681,basic,45,4,1,1
662,56,4885,basic,23,3,0,0
663,19,13186,basic,4,7,1,1
664,28,7865,basic,50,5,0,0
665,49,9106,basic,42,1,0,0
666,54,8016,premium,33,0,0,0
667,44,4628,basic,36,2,0,0
668,62,12743,premium,1,1,1,1
669,65,11857,premium,28,8,0,1
670,24,10889,premium,12,2,0,0
671,67,6591,premium,39,6,0,1
672,49,10361,premium,55,1,0,0
673,51,14392,basic,32,4,0,0
674,22,10447,basic,36,9,0,1
675,50,8425,basic,40,6,0,1
676,55,5516,enterprise,55,2,0,0
677,48,8796,basic,3,7,0,1
678,22,6832,basic,19,5,0,0
679,45,9946,premium,16,2,0,0
680,66,2593,basic,43,9,0,1
681,55,4472,premium,27,9,0,1
682,25,12230,basic,46,5,0,0
683,67,6949,basic,28,0,0,0
684,67,7628,basic,58,4,0,0
685,26,9070,basic,46,5,0,0
686,59,7697,basic,2,9,0,1
687,39,11862,basic,59,7,1,1
688,48,5189,basic,57,2,0,0
689,41,11859,premium,3,5,0,0
690,58,4722,premium,24,1,1,1
691,69,6817,basic,58,4,0,0
692,59,9641,basic,50,5,0,0
693,66,13517,basic,28,5,0,0
694,67,5023,premium,33,4,0,0
695,22,9636,premium,2,4,1,1
696,31,2834,basic,34,7,0,1
697,55,2980,basic,40,5,1,1
698,48,11977,enterprise,22,0,0,0
699,20,11346,premium,19,7,0,1
700,22,6894,basic,49,6,0,1
701,45,10098,premium,27,6,1,1
702,50,6943,basic,16,7,1,1
703,26,5604,basic,23,1,0,0
704,26,7607,premium,30,9,0,1
705,24,6054,basic,16,9,0,1
706,47,12595,basic,34,1,0,0
707,18,7351,enterprise,51,2,0,0
708,47,6170,premium,44,2,1,1
709,42,8969,basic,14,9,0,1
710,42,11854,premium,28,9,0,1
711,53,5557,premium,33,2,1,1
712,45,14214,basic,41,6,0,1
713,55,8025,enterprise,45,2,0,0
714,57,10591,premium,29,0,0,0
715,65,14444,basic,19,2,0,0
716,59,7611,basic,39,0,0,0
717,44,4597,premium,8,8,0,1
718,43,11721,enterprise,40,7,0,1
719,30,2086,basic,53,1,0,0
720,49,7952,basic,42,5,0,0
721,25,14739,premium,26,2,1,1
722,66,7387,basic,49,5,0,0
723,61,10893,basic,32,8,1,1
724,24,8828,premium,32,8,0,1
725,58,4790,premium,51,8,1,1
726,24,6130,premium,12,2,0,0
727,55,8805,premium,47,1,0,0
728,22,3355,basic,41,1,0,0
729,43,7393,enterprise,32,1,1,1
730,52,7393,basic,5,6,1,1
731,55,12853,basic,46,6,0,1
732,39,3610,premium,13,8,0,1
733,65,12955,premium,53,0,0,0
734,58,7335,premium,47,2,0,0
735,28,10467,basic,22,7,0,1
736,52,9240,enterprise,26,6,0,1
737,55,5897,premium,2,4,0,0
738,35,14099,premium,30,1,1,1
739,56,4918,enterprise,4,4,0,0
740,64,2470,basic,59,1,0,0
741,60,11751,premium,38,5,0,0
742,57,10078,premium,14,9,0,1
743,50,13576,premium,48,1,0,0
744,32,7950,premium,2,1,0,0
745,59,2218,premium,33,7,0,1
746,36,2263,basic,7,0,0,0
747,45,7632,basic,4,9,0,1
748,34,5244,enterprise,15,7,0,1
749,34,13988,enterprise,18,4,0,0
750,26,3540,enterprise,43,3,0,0
751,67,13450,basic,53,3,0,0
752,25,4818,basic,46,3,0,0
753,22,3552,premium,44,8,0,1
754,66,5569,premium,34,7,0,1
755,46,3873,basic,22,2,0,0
756,40,7216,premium,16,1,0,0
757,56,6295,basic,56,5,0,0
758,37,8877,basic,31,6,0,1
759,24,8981,basic,34,7,0,1
760,55,2012,basic,1,3,0,0
761,27,3623,basic,28,4,0,0
762,46,4104,enterprise,41,1,1,1
763,67,4531,premium,30,4,0,0
764,66,3216,enterprise,37,6,0,1
765,36,6090,basic,48,3,0,0
